
2024/10/19 (15:12:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/19 (15:12:04) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/10/19 (15:12:04) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/19 (15:12:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/19 (15:12:04) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/19 (15:12:04) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/19 (15:12:04) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/19 (15:12:33) | ===> btop++ v.1.3.2
2024/10/19 (15:12:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/19 (15:12:33) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/10/19 (15:12:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/19 (15:12:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/19 (15:12:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/19 (15:12:33) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/19 (15:12:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/20 (12:48:15) | ===> btop++ v.1.3.2
2024/10/20 (12:48:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/20 (12:48:15) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/10/20 (12:48:15) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/20 (12:48:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/20 (12:48:15) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/20 (12:48:15) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/20 (12:48:15) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/20 (12:49:33) | ===> btop++ v.1.3.2
2024/10/20 (12:49:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/20 (12:49:33) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/10/20 (12:49:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/20 (12:49:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/20 (12:49:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/20 (12:49:33) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/20 (12:49:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/20 (12:49:39) | ===> btop++ v.1.3.2
2024/10/20 (12:49:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/20 (12:49:39) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/10/20 (12:49:39) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/20 (12:49:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/20 (12:49:39) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/20 (12:49:39) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/20 (12:49:39) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/20 (12:49:50) | ===> btop++ v.1.3.2
2024/10/20 (12:49:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/20 (12:49:50) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/10/20 (12:49:50) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/20 (12:49:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/20 (12:49:50) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/20 (12:49:50) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/20 (12:49:50) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/20 (12:50:03) | ===> btop++ v.1.3.2
2024/10/20 (12:50:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/20 (12:50:03) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/10/20 (12:50:03) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/20 (12:50:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/20 (12:50:03) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/20 (12:50:03) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/20 (12:50:03) | WARNING: ROCm SMI: Failed to get PCIe throughput
